Wikidata ID,SNARC ID
Q16659597,Q9791
Q16659538,Q9917
Q16659419,Q10115
Q16867834,Q10237
Q16942515,Q10161
Q16933522,Q133660
Q16884952,Q9828
Q16980762,Q106112
Q17006838,Q106099
Q17051104,Q106141
Q17156398,Q9702
Q17148672,Q10008
Q17334923,Q9940
Q17489160,Q9749
Q17485079,Q9903
Q17505801,Q10082
Q17504814,Q10118
Q17456916,Q133658
Q17715832,Q9910
Q18019452,Q9923
Q18247357,Q10043
Q18411786,Q9820
Q18448934,Q9754
Q18498415,Q10027
Q18615527,Q117625
Q18674739,Q10055
Q18814858,Q9850
Q18761864,Q9729
Q18917976,Q43500
Q19707026,Q133679
Q19479037,Q10170
Q19389637,Q74533
Q19860854,Q9987
Q19844914,Q10369
Q19953632,Q8605
Q19899465,Q9983
Q19381379,Q117609
Q20588290,Q9937
Q20672229,Q9831
Q20616831,Q10157
Q20746389,Q133689
Q20820102,Q9963
Q20819922,Q133700
Q20857065,Q133683
Q20897929,Q10387
Q21061279,Q106065
Q21263223,Q10085
Q21504947,Q4
Q21507948,Q9827
Q21550779,Q9789
Q21540699,Q10184
Q21751045,Q10057
Q21822439,Q106097
Q21973915,Q133610
Q21980538,Q133702
Q22674925,Q9832
Q22812402,Q9710
Q22713629,Q10204
Q22908566,Q10070
Q23902005,Q10151
Q24529780,Q106090
Q24699794,Q10495
Q25550691,Q9765
Q25509593,Q106105
Q25504341,Q133642
Q26110856,Q10247
Q26236686,Q133730
Q26271642,Q133623
Q26928534,Q133692
Q27685913,Q10111
Q27032392,Q10048
Q27030941,Q10202
Q27032435,Q10242
Q27106436,Q106072
Q27865301,Q10133
Q27916659,Q106119
Q27971968,Q9782
Q28045079,Q9836
Q28109487,Q9848
Q28142754,Q10183
Q28777651,Q9824
Q28654840,Q117619
Q30313989,Q9911
Q31028314,Q9930
Q31028695,Q9933
Q31029044,Q10024
Q31028965,Q10032
Q31028835,Q10047
Q35112127,Q9893
Q32164125,Q9849
Q32350958,Q10105
Q32178211,Q133685
Q38239255,Q9945
Q39015397,Q10018
Q39364723,Q9716
Q39486269,Q9994
Q39532039,Q9982
Q39658032,Q10195
Q39919471,Q10119
Q40006041,Q10022
Q40211238,Q10073
Q40531603,Q10104
Q44234152,Q133674
Q44710480,Q9585
Q44710774,Q9949
Q45290083,Q9916
Q45400320,Q9967
Q45897634,Q9905
Q46614560,Q10114
Q47003909,Q10510
Q46327975,Q117612
Q47465379,Q9973
Q47461344,Q50119
Q47486890,Q106102
Q50233619,Q106108
